"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CACNA1S",-2.77071416159293,0.876605923344948,-19.2702020933467,3.61159687085318e-64,5.25858750061105e-62,135.337522635371
"TMEM184A",3.05080470626957,9.40215923344949,19.2405564080982,5.11251055562537e-64,7.39153814837949e-62,134.991717876682
"EZH2",2.584300437716,8.01688710801394,19.2333893113386,5.56053678759858e-64,7.98306435310481e-62,134.908133545333
"ALAS2",-3.45651837090673,1.41353954703833,-19.2265755016274,6.02279721712442e-64,8.58666853246974e-62,134.828675459947
"ORC6L",3.00822173440845,6.56438885017422,19.2166103887386,6.76884986296817e-64,9.58375777149908e-62,134.712479772378
"LYVE1",-3.52203151555047,6.90162473867596,-19.1945475314495,8.76561221327186e-64,1.23258916944158e-61,134.455267126459
"ERG",-2.28149439526084,8.35856376306621,-19.1616109087296,1.28922901563883e-63,1.80053548918811e-61,134.071404184084
"ECSCR",-2.44606924798422,6.14534581881534,-19.1596815883418,1.31868958404555e-63,1.82923629462535e-61,134.048923142751
"PLK1",3.27762650979105,8.27564965156796,19.1519961824811,1.4428738974122e-63,1.9880671888505e-61,133.959375258439
"TNR",-3.02403944051344,1.1887243902439,-19.1437315730649,1.58948375911948e-63,2.17547343831486e-61,133.863087356128
"OTX1",3.34486106960674,5.28799198606272,19.1387890236311,1.68417959823409e-63,2.28981504316198e-61,133.805507848367
"SFXN1",1.55562221161759,9.52379494773519,19.1268815734092,1.93611306910376e-63,2.61502640188818e-61,133.666802188533
"CLIC5",-4.60252392957055,8.95241881533102,-19.1252509158516,1.97342674909016e-63,2.64800334371379e-61,133.64780869911
"TMEM100",-5.01801508310026,6.67141968641115,-19.1032890065922,2.55188388062694e-63,3.40195948501761e-61,133.392036311625
"CDC45",3.7682931018595,6.71713780487805,19.0689503779284,3.81381959149275e-63,5.05146556215136e-61,132.992251471172
"B3GNT3",4.22583367121939,8.86832351916376,19.0616868467285,4.15205023721885e-63,5.4642045750066e-61,132.907706658011
"HJURP",3.68034335362846,7.41865191637631,19.0588299824917,4.29315026335138e-63,5.61390922972e-61,132.874455765372
"MGC27382",-3.32549190389997,1.63396254355401,-19.0534605241525,4.57143778868302e-63,5.9399758102318e-61,132.811963903849
"NEK2",3.60572982063521,7.44857212543554,19.0413874621966,5.26474739618297e-63,6.79781534865637e-61,132.671467116274
"DENND3",-1.95250816850421,9.71225975609756,-19.0232072930744,6.51188910630443e-63,8.35556770952687e-61,132.459937938784
"CDCA8",2.96283017936484,8.01582229965156,19.0198468483384,6.77284534196651e-63,8.63642949506661e-61,132.420843551982
"NME1",2.18982349843675,10.640818466899,19.0019188425941,8.35213250853238e-63,1.0584523481492e-60,132.212300674875
"FCN3",-4.89986946848778,7.01101463414634,-18.9653785575521,1.28016244347225e-62,1.61237637818929e-60,131.787391888321
"MMP11",5.15480802040485,9.62862282229965,18.9559641700461,1.42901516444724e-62,1.78888300768914e-60,131.677946523483
"CD101",-2.84506467335859,6.25564686411151,-18.9476919999214,1.57401264467231e-62,1.95845330879531e-60,131.581789959628
"JPH4",-2.90852128023699,4.44079076655052,-18.9389543616748,1.74315830222889e-62,2.15584577980477e-60,131.480233077375
"CNTN6",-5.37003817014979,3.44146829268293,-18.9263451552332,2.0197561718368e-62,2.48296971304249e-60,131.333696021497
"GPD1",-4.93656855356266,5.85540470383275,-18.9120126912738,2.38776117064724e-62,2.91790100198737e-60,131.167159238101
"SPTBN1",-1.78399739674183,13.0039277003484,-18.9081656737364,2.49746965193997e-62,3.03390839966436e-60,131.122463527471
"CTHRC1",3.78512419614945,9.60888972125437,18.9054660259096,2.5774507488878e-62,3.11265081615685e-60,131.091099515705
"ANKRD1",-5.72259195326647,4.77503397212544,-18.8740309354737,3.72021364014151e-62,4.46643193170206e-60,130.725968022705
"MSTO1",1.52257868026988,9.53395296167248,18.8721038239486,3.80484063902249e-62,4.54147548367045e-60,130.703588374614
"USHBP1",-2.63918052986673,5.38019581881534,-18.8687217659697,3.95803548442468e-62,4.69702130030282e-60,130.664313629547
