Model,Test_Accuracy,Test_ROC_AUC,CV_Accuracy_Mean,CV_Accuracy_SD,CV_ROC_AUC_Mean,CV_ROC_AUC_SD
Logistic Regression,1.0,1.0,0.9956282847587195,0.00535436905297922,1.0,0.0
Random Forest,1.0,1.0,0.9891065456282847,0.01190710797737742,0.9989225193456754,0.001319679297777176
